id;ID_CIDADE;NM_BAIRRO
1;124;CERAMICA
2;213;JARDIM ESPERANCA
3;809;BARRO DURO
4;1015;PALMEIRA DOS INDIOS
5;2054;ADRIANOPOLIS
6;2208;SAO JOSE
7;2542;CONGOS
8;2801;ALAGOINHAS VELHA
9;3352;CENTRO
10;4006;ALTO DA CRUZ
11;4170;AREIA
12;5061;CAJUEIRO
13;5088;BARAUNAS
14;5843;CIDADE NOVA
15;6084;CALIFORNIA
16;6718;CURRAL NOVO
17;6823;ALTO DA ALIANCA
18;8192;ABEL BARBOSA
19;8974;AGUAS CLARAS
20;9148;AMPARO
21;9806;ALAGOAS
22;10200;SANTA CRUZ
23;11622;ACUDE
24;12149;ALAGADICO
25;13110;AEROPORTO
26;13358;ACARACUZINHO
27;15350;ALTO DA BRASILIA
28;95567;SETOR CENTRAL
29;95575;TAGUATINGA CENTRO
30;95583;CEILANDIA NORTE
31;95591;SETOR NORTE
32;95605;GUARA I
33;95613;NUCLEO BANDEIRANTE
34;95621;SOBRADINHO
35;95630;SETOR COMERCIAL CENTRAL
36;95648;SAMAMBAIA
37;95656;SANTA MARIA
38;95664;CRUZEIRO VELHO
39;95672;PARANOA
40;104396;RECANTO DAS EMAS
41;104540;SETOR DE HABITACOES INDIVIDUAIS SUL
42;104558;SETOR DE HABITACOES INDIVIDUAIS NORTE
43;104566;CANDANGOLANDIA
44;104574;RIACHO FUNDO
45;104701;CENTRO
46;16390;AQUIDABAN
47;16446;MARACANA
48;16489;RAUL GIUBERTI
49;16772;CENTRO
50;17221;PLANALTO
51;18139;HELIO FERRAZ
52;18287;ALECRIM
53;18511;ALVORADA
54;18546;ALVORADA OESTE
55;19283;VILA UNIAO
56;19887;AEROVIARIO
57;20257;ALTO DA BOA VISTA
58;20303;CENTRO
59;21270;SETOR AEROPORTO
60;21474;VITORIA REGIA
61;22713;CONJ HELIO QUEIROZ
62;23051;PARQUE DO BURITI
63;24023;ALEMANHA
64;24163;SUCESSAO
65;25062;AEROPORTO
66;25151;ABOLICAO
67;25470;AGUA SANTA
68;25666;AARAO REIS
69;25747;ALVORADA
70;27081;CONJ HABIT SAO JOSE
71;27340;ANA CARRARA
72;28096;AGUA BRANCA
73;28207;SANTA HELENA (EXPANSAO)
74;28797;VALE DO SOL
75;30147;ALTINOPOLIS
76;30767;BOM JARDIM
77;30813;ALTO PEREIRA
78;30929;ACUDE
79;31143;VARZEA DA OLARIA
80;31224;ALCIDES JUNQUEIRA
81;31526;SANTO HIPOLITO
82;31640;AEROPORTO
83;33812;INDEPENDENCIA
84;33995;AGUAS
85;34010;ABNER AFONSO
86;34851;PARQUE PRIMAVERA
87;53902;VILA TRIANGULO
88;53961;BARIGUI
89;54623;CHACARA MANELA
90;54690;VILA VISTA ALEGRE
91;54720;JARDIM SAO SEBASTIAO
92;54879;14 DE NOVEMBRO
93;54887;JARDIM COLONIAL
94;55000;JARDIM GUARAITUBA
95;55298;ABRANCHES
96;55760;VILA YOLANDA
97;55786;VILA MARIA DELANI
98;56065;ALTO DA XV
99;56910;AGUA VERDE
100;56995;ABC
101;57304;CHACARA ASSAI
102;58068;VILA RUTE
103;58084;JARDIM PAULISTA
104;58114;AMADORI
105;58270;CHACARAS ATUBA
106;58459;CARA-CARA
107;59749;CRUZEIRO
108;60097;PARQUE ALVAMAR
109;60330;CENTRO
110;60437;CONJ BARAO DO RIO BRBANCO II
111;60585;PARQUE TARUMA
112;61158;BOA SORTE
113;61174;ABELHAS
114;61204;MALHAPAO
115;61298;BALNEARIO DAS DUNAS
116;61387;CENTRO
117;83631;VILA REAL
118;83895;ALDROVANDIA I
119;84131;CENTRO
120;84140;VILA AYRES
121;84166;CENTRAL PARK
