id;NM_CIDADE;ID_ESTADO
19;ASSIS BRASIL;9
27;BRASILEIA;9
35;CRUZEIRO DO SUL;9
43;FEIJO;9
51;JORDAO;9
60;MANCIO LIMA;9
78;MANOEL URBANO;9
86;MARECHAL THAUMATURGO;9
94;PLACIDO DE CASTRO;9
108;PORTO ACRE;9
116;PORTO WALTER;9
124;RIO BRANCO;9
132;SENA MADUREIRA;9
140;SENADOR GUIOMARD;9
159;TARAUACA;9
167;XAPURI;9
175;AGUA BRANCA;10
183;ALECRIM;10
191;ANADIA;10
205;ANEL;10
213;ARAPIRACA;10
221;ATALAIA;10
256;BARRA DE SANTO ANTONIO;10
264;BARRA DE SAO MIGUEL;10
272;BARRA GRANDE;10
280;BATALHA;10
299;BELEM;10
302;BELO MONTE;10
329;BOCA DA MATA;10
345;BRANQUINHA;10
353;CACIMBINHAS;10
361;CAJUEIRO;10
370;CALDEIROES DE CIMA;10
396;CAMPO ALEGRE;10
400;CAMPO GRANDE;10
434;CANAFISTULA;10
442;CANAPI;10
450;CANASTRA;10
469;CAPELA;10
477;CARNEIROS;10
485;CHA PRETA;10
493;COITE DO NOIA;10
507;COLONIA LEOPOLDINA;10
523;COQUEIRO SECO;10
531;CORURIPE;10
540;CRAIBAS;10
558;DELMIRO GOUVEIA;10
566;DOIS RIACHOS;10
574;ENTREMONTES;10
582;FEIRA GRANDE;10
590;TEOTONIO VILELA;10
604;FELIZ DESERTO;10
612;FERNAO VELHO;10
620;FLEXEIRAS;10
639;FLORIANO PEIXOTO;10
647;GIRAU DO PONCIANO;10
655;IBATEGUARA;10
663;IGACI;10
671;IGREJA NOVA;10
680;INHAPI;10
698;JACARE DOS HOMENS;10
701;JACUIPE;10
710;JAPARATINGA;10
728;JARAMATAIA;10
744;JOAQUIM GOMES;10
752;JUNDIA;10
760;JUNQUEIRO;10
779;LAGOA DA CANOA;10
795;LIMOEIRO DE ANADIA;10
809;MACEIO;10
817;MAJOR ISIDORO;10
825;MAR VERMELHO;10
833;MARAGOGI;10
841;MARAVILHA;10
850;MARECHAL DEODORO;10
868;MARIBONDO;10
876;MATA GRANDE;10
884;MATRIZ DE CAMARAGIBE;10
892;MESSIAS;10
906;MINADOR DO NEGRAO;10
914;MONTEIROPOLIS;10
922;MUNGUBA;10
930;MURICI;10
