ID;CD_CEP;NM_LOGRADOURO;ID_BAIRRO
1;14230900;TRAVESSA DAMAZO PEREZ PRADO;27650
2;14240000;ALAMEDA LORENA;27650
3;14240010;ALAMEDA LORENA;27650
4;14240020;ALAMEDA LORENA;27650
5;14240100;TRAVESSA ENGENHEIRO ANTONIO DE SOUZA BARROS JUNIOR;27650
6;14240200;PARQUE LISBOA;27650
7;14240300;TRAVESSA NEWTON FEITOZA;27650
8;14250000;RUA GUARARA;27650
9;14250010;RUA GUARARA;27650
10;14250100;RUA CACONDE;27650
11;14250110;RUA CACONDE;27650
12;14250200;RUA QUELUZ;27650
13;14250300;RUA TAPIRATIBA;27650
14;14250400;PRAÇA JOSE MUNIA;27650
15;14250500;TRAVESSA GABRIEL BALART;27650
16;14250600;TRAVESSA MAESTRO BRUMEL;27650
17;14250700;TRAVESSA OURO BRANCO;27650
18;14250800;RUA OURO BRANCO;27650
19;14260000;RUA OSCAR FREIRE;13667
20;14260010;RUA OSCAR FREIRE;13667
21;14260100;RUA RIO PRETO;13667
22;14260200;RUA CRISTOVAO DINIZ;13667
23;14260300;TRAVESSA DAS ESTRELAS BRANCAS;13667
24;14260400;TRAVESSA DAS ESTRELAS NOVAS;13667
25;14260500;VILA COBELIZ;13667
26;14270000;RUA ESTADOS UNIDOS;24853
27;14270010;RUA ESTADOS UNIDOS;24853
28;14270020;RUA ESTADOS UNIDOS;24853
29;14270100;RUA CARUMBE;24853
30;14270200;PRAÇA NICOLAU SCARPA;24853
31;14270300;PRAÇA REYNALDO PORCHAT DE ASSIS;24853
32;14280000;RUA HONDURAS;27650
33;14280010;RUA HONDURAS;27650
34;14280100;RUA MADRE TEODORA;27650
35;14280200;RUA JOSE CLEMENTE;27650
36;14280300;PRAÇA DAS GUIANAS;27650
37;14280400;PRAÇA PROF. DR DOMINGOS DELASCIO;27650
38;14290000;RUA DR JOAO PINHEIRO;27650
39;14290010;RUA DR JOAO PINHEIRO;27650
40;14290100;RUA VENEZA;27650
41;14290110;RUA VENEZA;27650
42;14290200;RUA CONSELHEIRO ZACARIAS;27650
43;14290300;RUA DR DAVID CAMPISTA;27650
44;14290400;PRAÇA CEDRO DO LIBANO;27650
45;14290500;PRAÇA DR CLEMENTE DE FARIA;27650
46;14300000;AVENIDA BRASIL;24853
47;14300010;AVENIDA BRASIL;24853
48;14300100;RUA ENGENHEIRO ALCIDES BARBOSA;24853
49;14300200;PRAÇA EDGARD THOMAZ DE CARVALHO;27651
50;14310000;AVENIDA BRASIL;24853
51;14310010;AVENIDA BRASIL;24853
52;14310100;RUA LUIS MACHADO PEDROSA;24853
53;14310200;RUA LUIS PEREIRA DE ALMEIDA;24853
54;14320000;RUA ANTONIO BENTO;27650
55;14320100;RUA CONSELHEIRO TORRES HOMEM;27650
56;14320200;RUA MARECHAL BITTENCOURT;27650
57;14320300;RUA MAESTRO CHIAFFARELLI;27650
58;14320400;RUA IRAQUITA;27650
59;14320500;RUA RUTILIA;27650
60;14330000;RUA MAESTRO ELIAS LOBO;27650
61;14330100;RUA GENERAL MENA BARRETO;27650
62;14330200;RUA GENERAL FONSECA TELES;27650
63;14330300;RUA OLIVEIRA DIAS;27650
64;14330400;RUA OTONIEL MOTA;27650
65;14330500;RUA DR SAMPAIO FERRAZ;27650
66;14330600;RUA ESPERIA;27650
67;14330700;PRAÇA JOSE GOMES FERREIRA;27650
68;14340000;RUA GROENLANDIA;24853
69;14341000;RUA GROENLANDIA;24853
70;14350000;AVENIDA SAO GABRIEL;27650
71;14350010;AVENIDA SAO GABRIEL;27650
72;14350100;RUA HENRIQUE MARTINS;27650
73;14350200;RUA CLAUDINO SILVA;27650
74;14350300;RUA SUZANO;27650
75;14350400;RUA GIRONDA;27650
76;14350500;RUA PRIMAVERA;27650
77;14350600;RUA SARITA CYRILLO;27650
78;14350700;PRAÇA DR ALVARO BRITO;27650
79;14360000;RUA CANADA;24853
80;14360100;RUA ARGENTINA;24853
81;14360200;RUA CUBA;24853
82;14360300;RUA MARTINICA;24853
83;14360400;RUA BERMUDAS;24853
84;14360500;RUA CHILE;24853
85;14360600;PRAÇA LIBERTADOR SIMON BOLIVAR;24853
86;14360700;PRAÇA CALIFORNIA;24853
87;14360800;RUA EQUADOR;24853
88;14360900;RUA GUAIAQUIL;24853
89;14361000;RUA PORTO RICO;24853
90;14361100;PASSAGEM MUNICIPAL;24853
91;14370000;RUA MEXICO;24853
92;14370100;RUA COSTA RICA;24853
93;14370200;RUA ALASKA;24853
94;14370300;PRAÇA AMERICA;24853
95;14370400;RUA BOLIVIA;24853
96;14370500;RUA GUATEMALA;24853
97;14370600;RUA SAN SALVADOR;24853
98;14380000;RUA COLOMBIA;24853
99;14380010;RUA COLOMBIA;24853
100;14380100;RUA PERU;24853
101;14380120;PRAÇA ADOLFO BLOCH;24853
102;14380200;RUA TERRA NOVA;24853
