id;CD_CEP;ID_BAIRRO;NM_LOGRADOURO
1;1423090;27650;DAMAZO PEREZ PRADO
2;1424000;27650;LORENA
3;1424001;27650;LORENA
4;1424002;27650;LORENA
5;1424010;27650;ENGENHEIRO ANTONIO DE SOUZA BARROS JUNIOR
6;1424020;27650;LISBOA
7;1424030;27650;NEWTON FEITOZA
8;1425000;27650;GUARARA
9;1425001;27650;GUARARA
10;1425010;27650;CACONDE
11;1425011;27650;CACONDE
12;1425020;27650;QUELUZ
13;1425030;27650;TAPIRATIBA
14;1425040;27650;JOSE MUNIA
15;1425050;27650;GABRIEL BALART
16;1425060;27650;MAESTRO BRUMEL
17;1425070;27650;OURO BRANCO
18;1425080;27650;OURO BRANCO
19;1426000;13667;OSCAR FREIRE
20;1426001;13667;OSCAR FREIRE
21;1426010;13667;RIO PRETO
22;1426020;13667;CRISTOVAO DINIZ
23;1426030;13667;DAS ESTRELAS BRANCAS
24;1426040;13667;DAS ESTRELAS NOVAS
25;1426050;13667;COBELIZ
26;1427000;24853;ESTADOS UNIDOS
27;1427001;24853;ESTADOS UNIDOS
28;1427002;24853;ESTADOS UNIDOS
29;1427010;24853;CARUMBE
30;1427020;24853;NICOLAU SCARPA
31;1427030;24853;REYNALDO PORCHAT DE ASSIS
32;1428000;27650;HONDURAS
33;1428001;27650;HONDURAS
34;1428010;27650;MADRE TEODORA
35;1428020;27650;JOSE CLEMENTE
36;1428030;27650;DAS GUIANAS
37;1428040;27650;PROF. DR DOMINGOS DELASCIO
38;1429000;27650;DR JOAO PINHEIRO
39;1429001;27650;DR JOAO PINHEIRO
40;1429010;27650;VENEZA
41;1429011;27650;VENEZA
42;1429020;27650;CONSELHEIRO ZACARIAS
43;1429030;27650;DR DAVID CAMPISTA
44;1429040;27650;CEDRO DO LIBANO
45;1429050;27650;DR CLEMENTE DE FARIA
46;1430000;24853;BRASIL
47;1430001;24853;BRASIL
48;1430010;24853;ENGENHEIRO ALCIDES BARBOSA
49;1430020;27651;EDGARD THOMAZ DE CARVALHO
50;1431000;24853;BRASIL
51;1431001;24853;BRASIL
52;1431010;24853;LUIS MACHADO PEDROSA
53;1431020;24853;LUIS PEREIRA DE ALMEIDA
54;1432000;27650;ANTONIO BENTO
55;1432010;27650;CONSELHEIRO TORRES HOMEM
56;1432020;27650;MARECHAL BITTENCOURT
57;1432030;27650;MAESTRO CHIAFFARELLI
58;1432040;27650;IRAQUITA
59;1432050;27650;RUTILIA
60;1433000;27650;MAESTRO ELIAS LOBO
61;1433010;27650;GENERAL MENA BARRETO
62;1433020;27650;GENERAL FONSECA TELES
63;1433030;27650;OLIVEIRA DIAS
64;1433040;27650;OTONIEL MOTA
65;1433050;27650;DR SAMPAIO FERRAZ
66;1433060;27650;ESPERIA
67;1433070;27650;JOSE GOMES FERREIRA
68;1434000;24853;GROENLANDIA
69;1434100;24853;GROENLANDIA
70;1435000;27650;SAO GABRIEL
71;1435001;27650;SAO GABRIEL
72;1435010;27650;HENRIQUE MARTINS
73;1435020;27650;CLAUDINO SILVA
74;1435030;27650;SUZANO
75;1435040;27650;GIRONDA
76;1435050;27650;PRIMAVERA
77;1435060;27650;SARITA CYRILLO
78;1435070;27650;DR ALVARO BRITO
79;1436000;24853;CANADA
80;1436010;24853;ARGENTINA
81;1436020;24853;CUBA
82;1436030;24853;MARTINICA
83;1436040;24853;BERMUDAS
84;1436050;24853;CHILE
85;1436060;24853;LIBERTADOR SIMON BOLIVAR
86;1436070;24853;CALIFORNIA
87;1436080;24853;EQUADOR
88;1436090;24853;GUAIAQUIL
89;1436100;24853;PORTO RICO
90;1436110;24853;MUNICIPAL
91;1437000;24853;MEXICO
92;1437010;24853;COSTA RICA
93;1437020;24853;ALASKA
94;1437030;24853;AMERICA
95;1437040;24853;BOLIVIA
96;1437050;24853;GUATEMALA
97;1437060;24853;SAN SALVADOR
98;1438000;24853;COLOMBIA
99;1438001;24853;COLOMBIA
100;1438010;24853;PERU
101;1438012;24853;ADOLFO BLOCH
102;1438020;24853;TERRA NOVA
103;1438030;24853;DOS INCAS
104;1438040;24853;PANAMA
105;1438050;24853;VINCENT VAN GOGH
106;1438060;24853;NOSSA SENHORA DO BRASIL
107;1438070;24853;NICARAGUA
108;1438080;24853;ANTILHAS
109;1438090;24853;URUGUAI
110;1438100;24853;DIONISIO DE CARVALHO
111;1438110;24853;ANTONIO NOGUEIRA
112;1439000;24853;VENEZUELA
113;1439010;24853;GUADALUPE
114;1439020;24853;JAMAICA
115;1439030;24853;GENERAL SAN MARTIN
116;1439040;24853;IUCATAN
117;1439050;24853;DR WALDOMIRO FRANCO DA SILVEIRA
118;1439060;24853;HOMERO VAZ DO AMARAL
119;1439070;24853;SALVA NACCACHE ABBUD
120;1440000;24853;ATLANTICA
121;1440010;24853;DR IBSEN DA COSTA MANSO
122;1440020;24853;JUQUIA
123;1440030;24853;DESEMBARGADOR VICENTE PENTEADO
